trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	boven	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
1	1	1	boven	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
1	1	1	boven	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
2	1	2	paleis	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
2	1	2	paleis	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
2	1	2	paleis	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
3	1	3	zenuwachtig	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
3	1	3	zenuwachtig	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
3	1	3	zenuwachtig	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
4	1	4	oorlog	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
4	1	4	oorlog	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
4	1	4	oorlog	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
5	1	5	pijn	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
5	1	5	pijn	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
5	1	5	pijn	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
6	2	1	lezen	1	1	9142	9392	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
6	2	1	lezen	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
6	2	1	lezen	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
7	2	2	reeds	1	1	998	1466	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
7	2	2	reeds	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
7	2	2	reeds	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
8	2	3	opstaan	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
8	2	3	opstaan	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
8	2	3	opstaan	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
9	2	4	worst	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
9	2	4	worst	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
9	2	4	worst	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
10	2	5	nonkel	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
10	2	5	nonkel	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
10	2	5	nonkel	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
11	3	1	bliksem	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
11	3	1	bliksem	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
11	3	1	bliksem	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
12	3	2	best	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
12	3	2	best	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
12	3	2	best	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
13	3	3	rustig	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
13	3	3	rustig	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
13	3	3	rustig	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
14	3	4	geld	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
14	3	4	geld	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
14	3	4	geld	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
15	3	5	keurig	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
15	3	5	keurig	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
15	3	5	keurig	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
16	4	1	muziek	1	1	7878	8393	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
16	4	1	muziek	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
16	4	1	muziek	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
17	4	2	anti	1	1	344	531	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
17	4	2	anti	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
17	4	2	anti	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
18	4	3	man	1	1	327	421	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
18	4	3	man	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
18	4	3	man	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
19	4	4	verstaan	1	1	280	421	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
19	4	4	verstaan	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
19	4	4	verstaan	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
20	4	5	takel	1	1	327	468	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
20	4	5	takel	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
20	4	5	takel	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
