trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
15	3	5	takel	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
23	5	3	goor	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
23	5	3	goor	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
23	5	3	goor	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
24	5	4	geld	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
24	5	4	geld	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
24	5	4	geld	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
25	5	5	jeuk	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
25	5	5	jeuk	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
25	5	5	jeuk	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
26	6	1	jungle	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
26	6	1	jungle	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
26	6	1	jungle	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	blanco	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	blanco	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	blanco	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	ik	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	ik	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	ik	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	salami	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	salami	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	salami	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	filter	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	filter	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	filter	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
31	7	1	opinie	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
31	7	1	opinie	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
31	7	1	opinie	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
32	7	2	voet	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
32	7	2	voet	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
32	7	2	voet	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
33	7	3	pijn	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
33	7	3	pijn	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
33	7	3	pijn	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
34	7	4	verdriet	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
34	7	4	verdriet	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
34	7	4	verdriet	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
35	7	5	lasso	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
35	7	5	lasso	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
35	7	5	lasso	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000100000100101	0000000000000000	0	0	4	0
36	8	1	stuk	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
36	8	1	stuk	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
36	8	1	stuk	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
